Date,symbol,Next_Close,prediction
2024-04-15 09:30:00,AAPL,168.583984375,172.09843896848793
2024-04-16 09:30:00,AAPL,167.21046447753906,169.22269263125682
2024-04-17 09:30:00,GOOGL,155.26768493652344,155.93862705976767
2024-04-18 09:30:00,GOOGL,153.3568115234375,155.65109286763166
2024-04-19 09:30:00,MSFT,397.9220275878906,398.1950099860613
2024-04-22 09:30:00,MSFT,404.48193359375,397.924489296322
2024-04-24 09:30:00,TSLA,170.17999267578125,172.56554877540674
2024-04-25 09:30:00,MSFT,403.2414245605469,391.03968191104605
2024-04-30 09:30:00,AAPL,168.50433349609375,169.86129875733351
2024-04-30 09:30:00,TSLA,179.99000549316406,179.63508529471238
2024-04-30 09:30:00,MSFT,391.9476318359375,390.08476423474053
2024-05-01 09:30:00,AAPL,172.21682739257812,169.34499026957528
2024-05-01 09:30:00,MSFT,394.8256530761719,393.35813825720044
2024-05-02 09:30:00,MSFT,403.5788269042969,394.69660533129166
2024-05-06 09:30:00,TSLA,177.80999755859375,186.51520576194204
2024-05-08 09:30:00,TSLA,171.97000122070312,173.45390649325512
2024-05-10 09:30:00,TSLA,171.88999938964844,170.26906082968165
2024-05-20 09:30:00,GOOGL,177.00376892089844,176.2944810989604
2024-05-23 09:30:00,GOOGL,174.15736389160156,173.523270604969
2024-05-24 09:30:00,GOOGL,175.56063842773438,175.25724762396294
2024-05-24 09:30:00,TSLA,176.75,180.86868495728442
2024-05-24 09:30:00,AAPL,189.3535919189453,190.76315842876627
2024-05-30 09:30:00,TSLA,178.0800018310547,180.4674710271162
2024-05-30 09:30:00,MSFT,412.7277526855469,414.48854674006105
2024-06-07 09:30:00,TSLA,173.7899932861328,177.21258728383216
2024-06-11 09:30:00,TSLA,177.2899932861328,171.2029566375501
2024-06-12 09:30:00,TSLA,182.47000122070312,179.1809526726652
2024-06-13 09:30:00,GOOGL,176.15074157714844,173.98276457838224
2024-06-13 09:30:00,MSFT,440.00897216796875,436.49490603927734
2024-06-18 09:30:00,MSFT,443.1208801269531,443.18142127280544
2024-06-21 09:30:00,TSLA,182.5800018310547,183.8352729178514
2024-06-27 09:30:00,GOOGL,181.4913330078125,184.7599473068216
2024-06-28 09:30:00,MSFT,454.0870361328125,445.78585057605216
2024-07-02 09:30:00,MSFT,458.1036376953125,452.76948972851454
2024-07-05 09:30:00,GOOGL,188.34646606445312,189.65454221704059
2024-07-11 09:30:00,GOOGL,184.4008026123047,184.90222383691898
2024-07-16 09:30:00,TSLA,248.5,255.7932628169431
2024-07-17 09:30:00,TSLA,249.22999572753906,248.66633626562
